system_indicator|card_number|product_id|customer_number|embossing_name|embossing_date|card_valid_through|previous_valid_through|card_type_plastictipping|authorised_amount|authorised_amount_sign|first_usage_date|ytd_transaction_purch|ytd_transaction_purch_sign|ytd_transaction_cash|ytd_transaction_cash_sign|annual_charge_date|no_of_years_to_waive_annual|activation_flag|life_card_flag|activation_change_date|branch_number|application_type_1|application_type_2|facility_group_account_number|processing_group|credit_limit|credit_limit_sign|temporary_limit|temporary_limit_sign|current_balance|current_balance_sign|balance_carried_forward|balance_carried_forward_sign|amount_due|amount_due_sign|total_payments_since_cutoff|total_payments_since_cutoff_sign|amount_in_arrears_1_period|amount_in_arrears_1_period_sign|amount_in_arrears_2_periods|amount_in_arrears_2_periods_sign|amount_in_arrears_3_periods|amount_in_arrears_3_periods_sign|amount_in_arrears_4_periods|amount_in_arrears_4_periods_sign|amount_in_arrears_5_periods|amount_in_arrears_5_periods_sign|amount_in_arrears_6_periods|amount_in_arrears_6_periods_sign|amount_in_arrears_7_periods|amount_in_arrears_7_periods_sign|amount_in_arrears_8_periods|amount_in_arrears_8_periods_sign|statement_type|statement_indicator|opening_date|manual_limit_adj_flag_1|manual_limit_adj_flag_2|latest_due_date|latest_period_processed|payoff_flag|block_code_date|arrear_level|from_acct_no|debit_type|number_of_times_x29_days_in|number_of_times_3059_days_i|number_of_times_6089_days_i|number_of_times_90119_days|number_of_times_120149_days|number_of_times_150179_days|number_of_times_180209_days|number_of_times_210239_days|ac_into_collection_date|old_card_number_1
gskfkudtya|ehwgfkauqykhuscx|jsiahc|ujzjbkkmsvspjfyfbryjmlqonqedji|dnhvsdbakqupqqttfwwaajcbjh|14903574|mzjrcm|hhgvdx|m|37226334419|o|70860648|23711346367|n|19996781720|b|mfdera|t|ks|j|34389973|nolv|u|o|jviklearoyliztqf|sj|02143308377|e|20404533564|e|10700898062|w|98083707478|q|85536441314|y|61357577925|m|77486579207|e|14866162726|l|08218055135|o|33356801571|d|61049334352|y|31835242469|x|40653459355|f|88646423477|z|ahfgkgvspnssufwc|g|89411728|75112023|91906211|23619969|93928103|89348846482|64892293|pvu|flihuxirmc|h|det|dsz|xww|yqi|etc|kjp|iiu|jnm|29677108|rtaswtlloctoalcf
mgowdbcxsu|tubeaxfkjycjggbn|wsobuo|hgbdfactghlcrhsljdowtbuewymdyj|vgrcmxczzwcqppyxgeiqpgzmsz|17118293|qtdvuu|tbjcjs|l|01072585342|u|34082343|30568817246|z|09497340363|e|aixwbh|j|bl|r|85245592|dmnq|c|a|cnrwxlkgdjhxoqnn|nw|72654740550|n|97999723368|c|51354850588|v|48355835527|v|28253658803|z|93620884310|h|10974093937|j|55195947016|o|13784982932|x|10684711143|y|52021032374|x|82504663347|z|74854461538|g|18688243569|l|gxxdufjylgatezyc|y|06556690|49902470|65479247|35390879|98166416|65251382455|48472504|dop|tacbdrdmad|k|nhg|gwj|iiy|mco|qeb|iwh|gim|fdb|03416112|utnkccymkfljzioc
zetxqnimsm|aimhautqscdjhbsc|kvezjz|iqdsckjfuabihbtsjvckqhqxfhlppr|elhlitqbpqlsvkqwumpufgtpmk|26942750|odyxhz|cdyewv|l|76047641964|m|56929905|93775631147|k|52115831447|z|ogfcax|o|ao|z|30721866|zwyu|c|u|ilhqocmzklngejkq|bh|32559557158|q|35895088385|k|76432283225|o|30242463072|a|66767569847|n|83686501486|n|07822564509|i|06347700067|f|63373617986|x|64133711004|g|34087152369|t|67980955778|c|81447533442|y|73387918523|v|uehealvytrckcqri|f|50121875|86894125|19775173|25391200|63497015|68183786717|69539147|pfm|wirqphgqze|s|sam|fvu|uhf|vkg|kgc|mdz|rwx|csn|81103246|wsbarjptdonjfnwp
dmxseztyih|dhirsckqooxsvjzs|bjhsjz|uexntibobkzlhreeezxfjktoeeaxma|vwefhchachtqtujxzgjlnengxg|24062451|dwdomc|sumkau|h|21003024038|v|54927240|22313848950|i|75635076965|g|cfowql|h|fi|c|68337437|tpdv|x|j|acavzddsvvoycbva|qs|19559898389|v|29612575877|q|00806784015|i|84815551742|z|28455989986|k|04126381130|d|48725939937|g|26883993568|y|32502288757|l|77729297510|p|60041571788|s|55980749462|p|00864724786|y|06915578281|u|nizfxvflzpywyqop|q|21874468|66816389|25155371|93847559|23353597|47573261789|42175814|efm|djcutmiafc|f|frm|hmi|qbf|xqs|ium|fhl|dsl|ofd|61404209|rvjhpiuuhgmbruvu
hlqihuvqwj|igijkytsesakamno|sovorb|ydgpcpmzydlijvvcfoqjjcwgieiohx|yfprxgcytmzvhqdhxvfnzhpvvm|22636903|tbblxg|ynyusx|h|84764718379|y|79975228|97813836769|z|18907868782|w|nfgbpr|p|da|f|50341688|mvzx|b|q|wphwdeclkfusmyph|fs|74543820156|y|06871009282|w|12227940496|s|18234527800|e|40105538747|k|90906420579|h|34003254451|p|33146300357|y|41499985679|t|73677058300|p|55494176192|h|95882923444|o|89238394901|p|18059086402|p|mphekgnhxkegbafp|n|49225596|65910707|17633516|95183973|04919962|56718593533|98973460|qda|rdxuykksmg|j|lkd|evh|dyt|hrd|fqw|ohl|mlw|lak|58035753|wdsneygwabgdrbdu
jbvejvmdkn|uuvjkiloxvdkzuuv|jkvfdt|goqwkkalcxdikfbzvxseagqjjylscr|hhwwhgiljjimjcfrjujjkpvhul|03463390|enhose|rvlhxd|u|00601301273|v|18831052|88169756926|j|77890657418|h|zgybwe|s|va|v|09430500|efiu|h|z|ysrttzwzrcpmgfsb|pn|15652275174|q|48330882674|a|78329626593|d|68823855965|d|26524692316|c|20374315387|l|70013252774|d|44920248183|d|98890751188|d|63653105958|g|03433552720|b|60397585138|f|76350339456|t|92684810112|s|gwvcdcavqxlgwxsd|k|56779384|23262276|36999712|44941632|70563584|10793451306|95059475|hoy|wrfprehyzu|m|hdu|fmc|rjn|jhq|czt|xui|xxz|juc|87440029|xtfncgjjgdbehhew
teplxechym|cnfyfcwzupygoxml|mbrygl|uoyhzsnbftjvnkygcflhrfiwesnzxs|txwmpbdsgvylconjaowcctyijp|50475746|fukdet|iztxxw|t|31976043122|f|34440776|64697451726|a|86714380376|f|daykit|x|ja|g|90498268|utti|o|x|cvytpoobvkieehtk|nl|44559516736|z|79503453929|q|46055040131|r|15900876575|m|16012017666|r|72157380055|e|42628697657|o|23743758201|q|03005783425|y|94595549138|k|69822541028|w|37263865776|y|81948995359|h|85405890525|g|dzcruxmrziffdyvm|i|01188016|24255387|70674620|46014370|23334504|09669260973|39312620|zks|pwduakjluu|i|mkm|uki|vto|gxj|ccv|jye|gnh|rth|61250687|ownropkvzcvhdoup
zashtzupuu|owepztjbkbpxnigf|bokqmh|bluwquvtlmtecuxmldofoulwfcnsyk|ynovobnvzfrxzspjnisflwlswe|79624758|yqjhja|kufonw|p|21168478847|d|84828091|00812567396|h|81957494776|r|jlytdt|n|ql|k|83445139|vwgn|q|o|afchohzoqwtnltfp|ge|25743622290|u|47821377693|k|08203034059|z|80776143752|a|68589981752|w|41628300304|s|36123218362|w|00340691405|k|19838502445|i|52088241805|r|82915864895|t|83492053264|j|07913877332|c|58942748806|b|dtuccbaarfashiem|c|70163288|53536752|32679639|66604772|92327324|39235024423|81135672|kwg|hkaortsdaj|z|uzn|fhd|zmp|fsq|rkk|lid|elx|ptd|90965384|cgvahnlhfvdyrbiy
lydijzpcgg|hmpfydgyvnxnetky|xjkeoj|rimrkdbpifzbnajqkjmtdeodhilvum|ogwbrewtmlwcxhawrikmelkwpw|96826826|ddquik|ubsnqs|k|43432528850|u|40900580|65112561724|v|14368086245|l|uqgpay|b|el|c|52099114|zvlm|p|g|miqbccywbtcqjfcj|pj|27089033512|i|41442782698|l|23977651815|s|57436549191|o|40288051164|t|43532991397|r|25000123253|z|14968582291|i|50222828437|s|88541612536|w|45878786516|p|27631891268|z|39913409451|t|49435710926|q|yltskppjukzqhdch|y|28616821|11149714|54678247|19717501|88636837|17817305098|30477545|gjr|cmxrddsxux|o|lfd|ymq|bsp|dps|mxv|lsa|nny|mjq|19639537|yyiwxhltnesvbnmx
tzdduktswk|bjqwgbubaqmfympi|qoapmr|gojnrdknnpeouctwbgwmuklgqczqir|ddqdxluljxkxicjsjqvvlvdtry|44648365|epolze|eagmhp|v|06740987625|p|57996405|34348645688|m|44649113521|f|dyxicw|t|tk|x|65471148|zqun|e|v|bapdhmmcykbauznm|wz|19456982677|a|55851802818|r|34607183354|z|45528753323|z|70095688672|i|25206979165|r|86353951988|t|30586725012|v|51619010241|k|53055693320|v|54085798105|s|10131752749|j|49422701348|j|39215094038|b|kwqprjqgpqztrcfq|e|66301063|49947296|59689097|82648279|25580115|10522078300|23208346|jch|iuhfqbxdxb|j|yty|inf|oxr|lgl|mhw|wvh|dea|xpn|14845647|ishvbbwrqorpkzyd
wtbvkddjrx|snlvihczipnevsmz|wlmumo|czugztzvwtjilxookhetjnhmakgtet|tfoactckokphjcfhpmmesmgmux|00499496|zqqyru|kvgomo|u|36340693637|s|55039059|19676906670|s|00433435318|m|tjcuvc|w|er|h|76459049|onhf|j|q|hogvklgvmkrhhmsv|rf|24243126985|e|89639693732|b|96539931607|o|23898471280|l|29954715677|v|90439319242|j|42975734321|b|32832817362|r|59042213341|e|92865298184|g|93700163969|e|98046356167|z|40946190809|z|78459243948|g|ynexbmnwwivktuqf|h|32628342|73671091|71582694|74199844|48475759|19690827033|12677486|tcp|uvogpgmjva|h|nby|ezo|wvo|osh|igl|fhg|ujd|bsd|45778956|lhvnvlmbnumbpqbi
oqfypczvoo|evxjwhwwjsaqbxhw|jlqoyh|xwucvzmvyoikckhxthjvpekylkklbw|zzxiomzxleegebomgfktkfbssy|83276761|kjlvog|taiqkl|x|90850982756|t|19271582|98766631113|o|53191154777|d|famajx|x|pc|x|92690660|djqu|u|e|kriljdkvgtkwdsct|ld|28564227944|g|82833520028|h|80923127221|a|35257308907|c|75291624460|s|48673078899|d|62394005499|k|70990840953|i|95928931384|w|69876668588|q|12734323348|j|23779153478|d|10231747630|s|38600062672|a|cpumfoyzwkwnqusp|i|21127215|33405528|48709688|91998067|61162675|39263675091|28553214|jdh|ypmajxbdgv|v|gqt|gng|nkx|rya|ebu|hif|hwt|ssx|07218611|bawimfzchsjictls
puhqtzsozn|yhjvbvidjnopzqhg|bomhul|oeihhxzsmpbaedtleaujjvqnnddclc|lhlzrlgmqxuzgwpsurblsafpsc|25529711|yjvhqk|geqelm|n|13946435122|z|24039932|32797594035|o|07109155281|v|yyossb|m|rk|o|59226386|bdrq|l|d|mrbcivovngfvawne|jg|82574576294|n|92369949315|c|68168745805|m|26538538747|p|43758742250|p|01383563243|v|65435415920|c|48926558492|p|92702089590|q|43118550248|u|99544937040|d|20731436819|n|39298600497|a|23950685799|h|zgfurlajlipquvki|w|48878208|64180965|32491829|04617538|36273742|44414481606|82268324|zkm|dtlkulahhz|e|tri|lcy|ddq|glc|fiw|jup|zpl|xwa|86698358|ulbunkxvuxvfxmok
mzouwsgrtx|znwrkqlhrcfswsfb|tatowb|cpjzlofiilzbzoobmazmsfeevxitzx|jsdfhxbtrwaarwiugofyfjorqz|06457300|bqagtc|hdamfw|j|85093192054|x|63783728|12071528472|e|15162389889|e|udbmkx|c|oq|a|41495231|btzz|a|k|cqgwokfmhfyrvrsr|wk|71560756653|l|96278923758|e|56641648069|j|68508611620|r|71980144775|m|38501415878|x|66873735008|q|70336817446|h|95476178099|a|08476941015|p|92505357890|b|61857988397|n|49426230117|w|99070020323|e|bvrmpoyuvdtezkyu|w|61189224|78765892|50873144|26067881|57426643|75744843937|05698439|qtj|ngyivdnkbm|y|mjg|azt|scd|tun|mgk|jfa|ipo|ccw|27332487|mcmpgqckexwmsuwf
tfxremhwvu|evcefvozazdjulkn|wkiwmb|eydwavlgldsdmjtpzlujlxyeswfnqn|pebwgoufosqaoccouldyrlpyuh|41793835|lytoey|hsicjv|r|39836544789|i|78007453|95059126094|q|29188800198|t|cuskrn|d|bi|j|89733695|xarv|j|r|rbqynxufphpdsnqz|sl|00263361669|d|02481217349|e|35892345510|b|33451572794|h|90498978222|w|37904972971|p|86928420081|y|47501524172|q|20810995019|m|85756448393|b|17711879287|f|52355628215|i|13431851663|o|51690519286|s|lzixfdtqhvaqgxhn|v|91630324|83047410|17645135|30250491|92263268|82841008672|86797447|bst|lrpainlpmj|z|tvw|vpc|zxs|emc|baa|efc|zqo|ncf|25444988|ckopgegczwjlhprs
mijsjfggyq|mykmimnvgcmnscqv|sqvtnf|daujwgbktizbdrqdkvvfbrtpvqqouf|suvrgkntuseaxwnnqdlexhzrmt|24413812|ppwuap|thfrnn|v|60480397147|i|25713558|82343061986|y|53534850302|z|jvzwoq|u|ds|f|97140009|yhbj|n|p|bnxviuyodogjcsdb|ip|96092975578|q|60699449400|c|73669851949|l|63681321072|j|75438799814|m|51000633189|q|42571311032|f|15624782539|p|07977599437|e|30159065410|r|05011077144|r|09984210887|n|32745365200|j|15237673896|p|aecrpnxkrntfvimu|l|56301957|04479508|77298915|77444584|42229217|67088252339|34901593|fit|ngdiybonmr|i|ddj|awm|qxd|oki|cvp|kpe|dkk|djb|76250158|bsozbhzibrskdibf
ykitkshgqs|yjpjfwgsoitbqaoy|iiuzqm|hytefxnshgahtnbxfpywsnpciddnfj|csmoicrdarbokitvshwuuvqqfi|93864975|ahdlkj|lrpsls|h|88102426928|q|13342777|17401619758|e|75182542413|m|xxqsaw|p|kt|r|69115061|mcdx|g|f|woagxeddhhxwtbhy|ne|18474635565|w|42270696642|t|88152363364|l|51295037092|h|98342171652|u|33992720395|m|55119865288|t|99397452561|q|32046987324|n|24711975043|p|88369548058|l|60397247696|a|44611751588|t|97626342783|j|lqyyduzlbgnnleyq|y|04205081|55384410|62102258|30755528|45152278|67970510708|95214320|lnz|awyyzcjsoy|v|ymc|faf|ubn|pvi|rha|mhs|zbn|pro|64441680|fjiocujlfeqqgrtp
elnwwtnagm|ujgemdejthgzvmpp|yczfdc|mqxtgpmwthxkrnykbbdmbokbtvcebq|kugyjnmmgvjanihjjwfrxekkae|07547072|sdnrjr|jqoopm|g|55412285358|l|96790723|01703682658|z|79281684077|p|wnwlhh|f|jq|q|11447265|hwmq|j|y|slwekjbaqkprnsci|db|26865567003|p|77355684326|v|72232500670|o|71994748883|d|18257374266|w|68080632876|n|66473191771|m|62815110022|c|33293962461|o|78147821974|h|29853700627|v|48853350891|q|19837929245|a|68395039309|x|hzfvgifpxcitrvfp|s|14192343|94966782|83413407|54006537|16580399|41028857097|55415044|ilq|uaeuspvwjb|e|xyg|wfi|qiq|niu|arp|apt|hwt|fhr|13801627|zdtfenjvngtqbhgn
vormghcydg|mvbqfaizkvydnwgk|rbvgrn|tvfkoeykbadnfvhfngmuwgeuqszmjh|imyaaowbhobambbfilubkgsxzc|37369850|sbdtwu|ioctyn|d|13745996668|v|57578594|90298486909|w|32224501615|p|oskbqf|a|uk|g|82392434|dyrh|y|d|yuvkfgptczgddgbg|ga|13520989276|q|38365630157|h|36417795851|h|53343152247|w|72290265539|a|57284554838|l|25795121198|t|75501285506|b|84713215522|y|13485548412|i|63973255646|u|84122970968|g|16474671452|h|98737670862|l|xcbdrrhcypbqahxz|e|35658184|81890996|43129225|95553093|67507440|62601881308|14326644|oaa|xbbxobhnjp|h|mes|gsx|qje|ist|mwp|ooh|nro|kgp|81842639|yqkvzcnxbhnxilxa
bexndffsjf|khjrsrgdxxstcpsx|gusokr|dtqbvtyluhsiprtpydmnekifbsgmlq|uowbzenanxztkfbsarvbxslxqe|61373600|vccagl|ysiehw|v|03138579137|n|22848117|67770694160|q|49961638974|e|uscdru|b|vj|e|97401550|gwwb|m|m|imcxbvoopusosbvb|jd|65040439504|n|09596323749|m|08204329547|m|86321103265|v|82897770784|g|75435219592|a|17070154649|c|14979154147|w|68081660746|t|14811414765|q|47304622807|j|72261356650|d|37178575818|f|81213898224|l|vazezbrwhmshwuuf|n|98422429|60047938|06819498|06214486|53405574|92093113607|09943247|fof|ktvlsfnbbt|o|ekj|jbv|fwl|vqd|xfl|lmp|hsc|kov|44309910|epotcyknnwacwwim
rtjlnzackt|izpsmgqshgvevaoj|asqjah|egvagcvflnwyubxegvypnnmygkjcrg|mndrrnuwuyaxrpnhhocgpgdtsg|71690695|lrsbeu|vzvcsp|v|13384695572|p|01716200|72478861050|c|44670390262|s|xphepg|v|dm|u|92401391|weba|g|o|ljldrxkgyjvizjzz|jy|40050436709|b|68710737208|s|15431090230|z|38347172603|t|69059027839|q|69610910877|m|79315314479|o|65949343385|d|55786592364|b|72573571853|r|94327945198|w|14379200646|d|42482728324|t|78577841562|e|zyonkwwhokolfbrs|k|21562832|85532613|87163082|52844343|48278312|99578479977|89946678|jhp|vncmobcgzn|e|dlo|prk|lkh|ntx|xnk|wsq|ttb|les|38292519|lndmxeyxaqgqgttt
aluvuoekjh|rryxbswodssfjhne|lpkakh|jezquzgwzleiboqehfiunmrsbirnas|bgtapqjhajtexskucxynpyurtt|24717871|khwmwq|bvowhb|s|78227832790|c|98679020|07155897782|p|36773153219|e|qjxdfn|l|ed|p|76216524|dpmk|d|t|mklhjvnshdehxekg|ib|12334747918|d|72682288423|c|82987078667|u|56932063055|y|89473431979|q|52669219921|c|81585672764|n|27630396453|c|56650029556|i|03356014337|q|47100342414|s|82376150841|v|73206174272|u|18301742611|r|bkwbnodqumballzz|l|90521136|62249459|65631865|47069703|64948247|10049343585|53152350|bqs|pcxagnkwef|f|dqy|bun|kfa|cvt|laj|uio|gsv|wit|23012833|yqkltmcegvltijbe
nlhokabzmd|zirkebqpmqafkzfm|nizwry|hlvljvzlqmnswuzgjxknmhitwcdeex|gycgjrsjdsyhofivywsqivvqla|80652572|fsmrrm|fbgzcd|s|56141699988|h|05723155|05004941687|r|91422271243|p|jqckcf|w|ju|m|46718804|xlle|o|s|edmwkxcdhfvhbtri|yn|37768253189|k|12290754966|v|57510787638|h|48632153979|c|11760520941|i|01916799469|m|09434552139|i|08659712870|p|53339736544|u|61707804765|t|43666831142|i|18346795934|w|60321088197|t|22276148322|f|glnnvrxmguntjauy|g|42189660|13616057|62904013|06734482|54255028|71595742986|69940010|qpz|jfyfmcsiig|e|utk|cns|vkg|jec|nvl|iga|kvz|bwq|98418304|dezkxorvgbzzdltv
rykhzcvgqj|dnuqovskazpdosis|exisvu|lcidecugvwtkkoxuzubivfmjbclgnk|svtmxrkvpdgrfhlolcvzircaqv|17667196|wfkbyf|recbgl|s|68985335421|l|67274583|78196605819|y|57255859833|d|brslug|t|ok|r|79593814|rbfw|s|a|fqnwytnztzsdnyem|sa|02552993321|u|94852070199|b|79551053533|t|68351563553|s|33967199183|r|43196655125|r|51051969016|e|59879010032|u|07990126280|e|57528090704|b|73105296963|l|78480980052|h|62088111146|u|70185774391|k|lkxnogmslwlnjjaq|f|55038695|33618766|67229547|15743956|55445825|83106625825|40175772|mku|vtpzmldcvk|t|rdz|aem|zug|cqn|vay|whd|fem|oti|48153561|friaessxiqhnztmb
